gh_project_name,"sum(tr_tests_fail)/sum(tr_status = ""passed"")"
activeadmin/activeadmin,8.0000
activerecord-hackery/ransack,354.2090
adamfisk/LittleProxy,1.0000
addthis/stream-lib,1.0000
adhearsion/adhearsion,16.8519
agoragames/leaderboard,2.0000
amahi/platform,2.0000
amatsuda/kaminari,35.1743
ankane/groupdate,144.6000
ankane/searchkick,1.0000
applicationsonline/librarian,22.8500
aprescott/serif,2.0000
arangamani/jenkins_api_client,22.3158
arsduo/batch_api,324.0000
arsduo/koala,2.0000
asakusarb/action_args,28.4713
asciinema/asciinema.org,2.4286
assaf/vanity,1.0000
avdi/naught,2.0000
awestruct/awestruct,2.0000
balanced/balanced-ruby,22.0000
bbatsov/rubocop,45.0688
benhoskings/babushka,2.0000
binarylogic/authlogic,1.0000
biojava/biojava,1.0000
brettwooldridge/HikariCP,1.0000
brianmario/mysql2,2.0000
brigade/overcommit,8.6875
bugsnag/bugsnag-ruby,2.0000
burke/zeus,3.0741
byroot/activerecord-typedstore,177.1071
caelum/vraptor4,7.0000
calabash/calabash-ios,1.1553
calagator/calagator,6.0000
carrierwaveuploader/carrierwave,33.1579
Casecommons/pg_search,66.3116
celluloid/celluloid,32.4173
celluloid/celluloid-io,10.3750
celluloid/celluloid-zmq,4.8333
celluloid/dcell,6.9091
celluloid/reel,3.8148
celluloid/timers,2.0000
cgriego/active_attr,31.1667
charlotte-ruby/impressionist,24.6667
cheezy/page-object,2.0000
ci-reporter/ci_reporter,2.0000
cloudfoundry/cloud_controller_ng,8.3077
cloudfoundry/warden,2.0000
codeforamerica/citygram,30.0000
codevise/pageflow,7.0000
collectiveidea/audited,22.1509
collectiveidea/awesome_nested_set,5.0000
collectiveidea/json_spec,1.0541
colszowka/simplecov,19.7925
comfy/comfortable-mexican-sofa,11.0000
Compass/compass-rails,1.0270
coorasse/Airesis,9.2000
cryptosphere/rbnacl,12.6977
danielweinmann/catarse,4.0000
danmunn/redmine_dmsf,2.0000
DatabaseCleaner/database_cleaner,2.0000
datamapper/do,7.0000
davetron5000/gli,8.0000
davetron5000/methadone,1.0000
dblock/rspec-rerun,34.7027
ddollar/foreman,45.2333
defunkt/fakefs,7.4000
diaspora/diaspora,2.0000
dkubb/adamantium,10.0000
doanduyhai/Achilles,92.5000
doorkeeper-gem/doorkeeper,3.0800
drapergem/draper,4.2143
drecom/activerecord-turntable,65.6269
dropwizard/dropwizard,1.0000
drrb/puppet-library,2.2222
druid-io/druid,1.1429
engineyard/engineyard,355.3333
engineyard/engineyard-serverside,2.0000
enspiral/loomio,2.0000
errbit/errbit,9.8077
escapestudios-cookbooks/newrelic,50.0000
essentials/Essentials,1.0000
fatfreecrm/fat_free_crm,14.7742
faye/faye-websocket-ruby,28.8000
fluent/fluent-logger-ruby,15.7255
fphilipe/premailer-rails,20.0000
gavinlaking/vedeu,1.0000
gazay/gon,6.0435
Gazler/githug,6.0000
ging/social_stream,2.0000
gistflow/gistflow,45.1579
glebm/i18n-tasks,34.6957
glebm/rails_email_preview,8.9677
google/closure-compiler,1.0000
google/google-api-ruby-client,5.6000
google/signet,126.0000
gresrun/jesque,2.0000
grosser/parallel,2.4000
grosser/parallel_tests,2.4000
grosser/wwtd,2.0000
guard/guard,15.9954
guard/guard-minitest,2.0000
guard/guard-rspec,56.8230
guard/guard-spork,49.6923
guard/listen,18.2400
haml/haml,1.0000
hamstergem/hamster,2.0000
hashrocket/decent_exposure,6.0000
heroku/heroku,31.4086
heroku/heroku-buildpack-ruby,9.0000
honeybadger-io/honeybadger-ruby,17.1233
htty/htty,12.0000
HubSpot/Singularity,2.0000
hybridgroup/artoo,1.8750
igrigorik/http-2,286.0000
influitive/apartment,2.0000
inossidabile/protector,48.0000
instructure/canvas-lms,788.0000
intridea/hashie,4.7241
intridea/oauth2,2.0000
intridea/omniauth,2.0000
ioquatix/rubydns,2.0000
jaimeiniesta/metainspector,28.0000
jarib/childprocess,4.0000
jasmine/jasmine-gem,390.0000
jayroh/thredded,3.3333
jch/html-pipeline,2.0000
jdantonio/functional-ruby,34.9333
jeremyevans/sequel,23.1613
jfelchner/ruby-progressbar,2.0000
jfirebaugh/konacha,2.2857
jipiboily/monologue,2.0000
jnicklas/capybara,223.7375
JodaOrg/joda-time,1.0000
jOOQ/jOOQ,2.1818
jorgemanrubia/mailgun_rails,6.0000
JoshCheek/seeing_is_believing,4.1087
joshwlewis/unitwise,2.0000
jprante/elasticsearch-jdbc,1.2500
jruby/jruby,1.0000
jruby/jruby-rack,7.0216
jruby/warbler,10.0000
justinfrench/formtastic,558.9600
kenichi/angelo,5.8750
kickstarter/rack-attack,1.0000
killbill/killbill,1.0000
kostya/eye,2.0000
kovyrin/db-charmer,2.0000
ktoso/maven-git-commit-id-plugin,2.0000
l0rdn1kk0n/wicket-bootstrap,85.0000
langalex/couch_potato,2.0000
laserlemon/figaro,2.5714
le0pard/mongodb_logger,16.2941
leejarvis/slop,1.0000
librato/librato-metrics,2.0000
Locale/localeapp,2.0000
locomote/gusteau,1.0000
locomotivecms/engine,1.0000
lodge/lodge,24.0000
lostisland/faraday,5.3023
lostisland/faraday_middleware,5.3333
lotus/controller,95.6622
lotus/lotus,94.4316
lotus/router,24.0800
lotus/utils,21.7447
lotus/view,37.0270
louismullie/treat,14.4074
LTe/grape-rabl,10.0000
lukaszkorecki/CoffeeTags,8.0000
ManageIQ/manageiq,4.0375
manshar/manshar,7.6471
maoueh/nugrant,1.0000
MarkUsProject/Markus,2.0000
Mashape/unirest-java,1.0000
mattdbridges/dotify,3.4063
mattheworiordan/capybara-screenshot,4.0000
maxdemarzi/neography,40.0000
mbj/mutant,149.2438
mbj/unparser,21.4615
mbleigh/acts-as-taggable-on,16.1099
mceachen/closure_tree,81.4419
middleman/middleman,6.2837
mikel/mail,207.3333
mileszs/wicked_pdf,4.0000
mina-deploy/mina,2.0000
MiniProfiler/rack-mini-profiler,4.0000
mitchellh/vagrant,12.0000
mockito/mockito,1.0000
mongoid/moped,98.2941
mperham/dalli,1.1111
mperham/sidekiq,3.4464
mrkamel/search_cop,82.0870
mroth/lolcommits,1.1111
muffinista/chatterbot,2.0000
myronmarston/vcr,113.8125
nanoc/nanoc,9.4821
